country,turnout,elec.year,compulsory,elec.type,democ.type,bicameral,DM,ENPP,competitiveness,years.democ,corrupt,educ,pop
Andorra,81.64,2001,No,Mixed,Parliamentary,Bicameral,2,2.6,46.4,NA,NA,NA,67.2
Australia,94.85,2001,Enforced,Majoritarian,Parliamentary,Bicameral,1,3.46,62.2,70,8.6,10.922,18888
Austria,84.27,2002,No,Proportional,Parliamentary,Bicameral,4.26,3.82,57.7,46,7.8,8.354,8211
Bahamas,90.03,2002,No,Majoritarian,Parliamentary,Bicameral,1,NA,49.2,28,NA,NA,305.68
Barbados,56.88,2003,No,Majoritarian,Parliamentary,Bicameral,1,1.84,35,35,7.3,8.732,276.66
Belgium,91.63,2003,Enforced,Proportional,Parliamentary,Bicameral,7.5,10.29,70,70,7.1,9.338,10281.55
Belize,79.52,2003,No,Majoritarian,Parliamentary,Bicameral,1,1.98,40.7,19,4.5,NA,254.4
Benin,55.9,2003,No,Proportional,Presidential,Unicameral,3.5,3.91,32.9,9,3.2,2.335,6099
Bolivia,72.06,2002,Not Enforced,Mixed,Presidential,Bicameral,1,5.92,70,15,2.2,5.579,8333
Bulgaria,66.63,2001,No,Proportional,Parliamentary,Unicameral,7.74,3.02,50,10,4,NA,8225
Canada,61.18,2000,No,Majoritarian,Parliamentary,Bicameral,1,3.77,59.2,70,9,11.617,31155
Cape Verde,54.14,2001,No,Proportional,Parliamentary,Unicameral,3.79,2.13,44.4,0,4.9,NA,428
Chile,86.58,2001,Enforced,Proportional,Presidential,Bicameral,2,6.95,48.7,11,7.5,7.549,15215
Costa Rica,68.84,2002,Not Enforced,Proportional,Presidential,Unicameral,8.14,3.35,42,52,4.5,6.049,4027
Croatia,61.65,2003,No,Proportional,Semi-Presidential,Bicameral,14,3.89,48.5,8,3.8,NA,4473
Cyprus,91.75,2001,Enforced,Proportional,Presidential,Unicameral,9.33,3.79,65.3,40,6.1,9.152,814.2
Denmark,87.15,2001,No,Proportional,Parliamentary,Unicameral,7.94,4.74,68.8,70,9.5,9.661,5293
Dominica,60.17,2000,No,Majoritarian,Parliamentary,Unicameral,1,2.55,52.4,NA,4.5,NA,71
Dominican Republic,51.05,2002,Not Enforced,Proportional,Presidential,Bicameral,5,2.73,50.1,35,3.5,4.927,8758.95
El Salvador,28.42,2003,No,Proportional,Presidential,Unicameral,4.57,3.68,55.5,16,3.4,5.154,6278
Estonia,58.24,2003,No,Proportional,Parliamentary,Unicameral,9.18,6.87,70,8,5.6,NA,1396
Finland,66.71,2003,No,Proportional,Parliamentary,Unicameral,13.3,5.93,62.8,70,9.7,9.988,5176
France,60.32,2002,No,Majoritarian,Semi-Presidential,Bicameral,1,6.54,70,70,6.3,7.862,59084
